person,current_company,past_company1,past_company2,past_company3,education,linkedin_group1,linkedin_group2,linkedin_group3,hobby1,hobby2,hobby3
Rosanna Beetz,BMW,,,,Brand Academy - Hochschule für Design und Kommunikation,Industry trends,Big Data,Airline,Parachuting,,
Eveline Asp,Audi,TigerGraph,BMW,Mercedes,Universität Erfurt,Industry trends,,,Snowboarding,Stamp Collecting,Hunting
Patty Aburto,Tesla,Seat,Opel,Microsoft,Fachhochschule Aachen,NoSQL,GSQL,,Photography,Fencing,Calligraphy
Hettie Huewe,Audi,Tesla,,,Zeppelin University,Airline,,,Badminton,,
Isadora Farver,Audi,Lexus,Skoda,Microsoft,Hochschule Neu-Ulm,Big Data,Graph Databases,Automotive,Couch potatoing,Dog walking,Skiing
Chadwick Elworthy,Toyota,Seat,Porsche,Microsoft,Technische Universität Kaiserslautern,Analytics,Graph Databases,NoSQL,Fencing,TV watching,
Emelina Bey,Seat,Porsche,Opel,Mercedes,Universität Augsburg,Analytics,Future trends,,Running,Chess,
Fanny Hoenstine,BMW,Seat,Lexus,Skoda,Universität zu Lübeck,TigerGraph,Future trends,GSQL,Paragliding,Dancing,Badminton
Thersa Haik,Toyota,Seat,,,Hochschule Esslingen,Kubernetes,Graph Databases,,Scuba Diving,,
Kaye Dicus,Toyota,Skoda,,,Universität zu Lübeck,NoSQL,,,Kite Boarding,Motorcycles,
Nichol Rackers,Tesla,BMW,Microsoft,,Beuth Hochschule für Technik Berlin,Cloud,Security,Retail,Electronics,Skateboarding,Chess
Hilma Parchman,BMW,Toyota,Microsoft,Mercedes,Universität Augsburg,GSQL,,,Stamp Collecting,Car Racing,
Lucienne Clarkin,Opel,Porsche,BMW,,Technische Universität Kaiserslautern,NoSQL,,,Sailing,Horse riding,
Mavis Przeniczny,BMW,Skoda,,,Universität Augsburg,Industry trends,TigerGraph,Retail,Cooking,Calligraphy,
Jenni Wember,Seat,Lexus,Tesla,,Universität Erfurt,Big Data,TigerGraph,Kubernetes,Electronics,,
Alonso Gitting,Opel,,,,Fachhochschule Dortmund,Airline,,,Paragliding,Baseball,
Taylor Rader,Mercedes,,,,Fachhochschule Dortmund,Graph Databases,,,Paragliding,Relaxing,Stamp Collecting
Sterling Dale,Seat,TigerGraph,BMW,Tesla,Goethe-Universität Frankfurt am Main,Big Data,GSQL,Retail,Cooking,,
Percy Grizzle,Mercedes,Skoda,Tesla,,Brand Academy - Hochschule für Design und Kommunikation,AI,Security,,Running,Skiing,
Vilma Gholar,Porsche,,,,Universität zu Lübeck,Cloud,,,Fishing,Painting,
Claris Ponton,Seat,Audi,Opel,Microsoft,Hochschule Fresenius,Airline,GSQL,,Relaxing,Baseball,Playing music
Oneida Sedbrook,Tesla,Toyota,Volkswagen,Microsoft,Zeppelin University,Industry trends,,,Football,Bicycling,TV watching
Fran Dalmata,Porsche,BMW,,,Universität der Bundeswehr München,Graph Databases,TigerGraph,Retail,Snowboarding,Hunting,Traveling
Willy Guyton,Lexus,,,,Zeppelin University,Cloud,Kubernetes,Security,Tennis,Parachuting,Playing music
Hedy Bryner,Toyota,Volkswagen,BMW,Mercedes,Leibniz-Fachhochschule,NoSQL,Big Data,GSQL,Playing music,,
Anne Putzer,Volkswagen,,,,Universität zu Köln,Industry trends,TigerGraph,GSQL,Fishing,Electronics,Kayaking
Filiberto Ramsden,Seat,TigerGraph,Skoda,,Frankfurt University of Applied Sciences,Cloud,Retail,NoSQL,Hunting,,
Jeff Maulden,Toyota,TigerGraph,,,Munich Business School,TigerGraph,,,Kite Boarding,,
Xenia Saluja,Audi,Volkswagen,Tesla,,Technische Universität Berlin,Security,,,Scuba Diving,,
Ailene Thornburgh,Porsche,,,,Hochschule für angewandte Wissenschaften München,Analytics,,,Photography,Golf,
Hester Keovongxay,TigerGraph,Mercedes,,,Technische Universität Braunschweig,AI,Future trends,Retail,Reading,,
Stephenie Wheadon,Volkswagen,Lexus,TigerGraph,BMW,Frankfurt University of Applied Sciences,Airline,TigerGraph,,Basketball,Aeromodeling,Kayaking
Ambrose Dunklin,Skoda,,,,Universität zu Köln,Retail,,,Bicycling,,
Jacqui Pigford,Seat,,,,Universität Augsburg,NoSQL,AI,,TV watching,,
Sylvia Doebler,Seat,Audi,Mercedes,,Hochschule Fresenius,Security,Automotive,GSQL,Astronomy,TV watching,
Michal Thomer,Opel,Microsoft,,,Munich Business School,Airline,Retail,GSQL,Football,Skateboarding,
Lisette Sherraden,BMW,Opel,Skoda,Mercedes,Hochschule Macromedia,Airline,Future trends,GSQL,Geocaching,Aeromodeling,Sailing
Deedee Gett,Opel,Microsoft,Audi,Tesla,Munich Business School,Industry trends,Future trends,Retail,Football,,
Edris Stickler,Opel,Lexus,TigerGraph,Microsoft,Hochschule der Bundesagentur für Arbeit,GSQL,,,Brewing Beer,Playing music,
Dawn Bradmon,BMW,Lexus,Skoda,,Universität Passau,TigerGraph,GSQL,,Hiking,Electronics,
Lavona Valotta,Volkswagen,,,,FernUniversität in Hagen,NoSQL,Retail,,Bicycling,Aeromodeling,Scuba Diving
Carroll Vadenais,Toyota,,,,Universität der Bundeswehr München,Future trends,GSQL,,Chilling,Couch potatoing,TV watching
Dacia Frabott,Opel,Lexus,Porsche,Skoda,Hochschule der Bundesagentur für Arbeit,Industry trends,Automotive,Retail,Relaxing,Parachuting,
Clemmie Marcolina,Toyota,BMW,,,Fachhochschule Dortmund,AI,GSQL,,Skateboarding,,
Shenna Mamer,TigerGraph,Tesla,,,Brand Academy - Hochschule für Design und Kommunikation,NoSQL,Security,GSQL,Hiking,Photography,Chilling
Anissa Polosky,Tesla,Volkswagen,Microsoft,,Technische Universität München,Cloud,Graph Databases,Security,Couch potatoing,Darts,
Loree Manon,Audi,BMW,,,Universität Freiburg,Analytics,,,Badminton,,
Wiley Boccia,Toyota,Volkswagen,Tesla,,Frankfurt University of Applied Sciences,NoSQL,Airline,Automotive,Painting,Parachuting,
Katherina Korsen,Audi,Microsoft,,,Technische Universität Darmstadt,TigerGraph,,,Baseball,Reading,Scuba Diving
Ludivina Reisdorf,Seat,,,,Hochschule Neu-Ulm,GSQL,,,Reading,Traveling,
Darrel Niimi,Seat,Microsoft,,,Technische Universität München,Graph Databases,Future trends,,Cooking,,
Lashawnda Lacasse,Seat,Opel,Lexus,Mercedes,Hochschule der Bundesagentur für Arbeit,Graph Databases,,,Motorcycles,Gardening,
Theo Goods,Mercedes,Opel,Lexus,Microsoft,Universität Konstanz,GSQL,,,Mountain Biking,Reading,Scuba Diving
Neoma Nardelli,Porsche,,,,Universität Hamburg,Cloud,,,Gardening,Calligraphy,
Lexie Iezzi,BMW,Microsoft,,,Technische Universität Darmstadt,NoSQL,,,Photography,Brewing Beer,
Jettie Patzer,Porsche,Mercedes,,,Technische Universität Kaiserslautern,Graph Databases,GSQL,,Hiking,Badminton,
Soledad Hendrikson,Audi,,,,Universität Passau,Graph Databases,,,Hiking,Dog walking,Cooking
Leesa Mainard,BMW,Volkswagen,Skoda,Tesla,Universität Augsburg,Graph Databases,Security,Retail,Train Spotting,Stamp Collecting,
Kathryn Muncey,Toyota,Seat,Lexus,Audi,Universität Konstanz,NoSQL,AI,,Playing music,,
Beryl Szyszka,Tesla,,,,Universität Regensburg,Graph Databases,,,Motorcycles,Car Racing,TV watching
Kathie Artiga,Audi,Volkswagen,TigerGraph,Tesla,Universität zu Köln,Analytics,Big Data,Automotive,Brewing Beer,,
Reanna Karow,Audi,Porsche,,,Universität Passau,TigerGraph,Future trends,,Sailing,,
Kandy Olivarres,Toyota,Seat,Porsche,Mercedes,FernUniversität in Hagen,AI,Airline,Graph Databases,Kite Boarding,,
Coreen Forlivio,Tesla,Toyota,BMW,Microsoft,Friedrich-Alexander-Universität Erlangen-Nürnberg,Analytics,,,Snowboarding,Reading,Gardening
Edgardo Montano,Opel,Lexus,TigerGraph,Skoda,Hochschule Esslingen,Big Data,Graph Databases,Automotive,Hiking,Basketball,Martial Arts
Jeanmarie Ramnauth,Microsoft,,,,Technische Hochschule Mittelhessen,Cloud,Automotive,Security,Bowling,Bicycling,Aeromodeling
Darcie Dominis,Lexus,Porsche,Skoda,,Fachhochschule Aachen,Cloud,,,Darts,,
Erin Cavaretta,Opel,Audi,BMW,Tesla,Heinrich-Heine-Universität Düsseldorf,NoSQL,TigerGraph,,TV watching,,
Lon Fennimore,Tesla,Opel,Audi,,Technische Universität Darmstadt,Cloud,Future trends,,Calligraphy,Hunting,Rafting
Soledad Reisen,Toyota,Seat,Opel,Microsoft,Universität Stuttgart,Cloud,Kubernetes,,Dancing,,
Coralee Miskovich,Audi,,,,Technische Universität Darmstadt,Analytics,Graph Databases,Automotive,Skiing,Skateboarding,
Emma Vining,Audi,TigerGraph,,,Universität Konstanz,AI,Airline,Future trends,Fishing,,
Cindy Keuper,Tesla,Microsoft,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Cloud,Retail,,Cooking,Parachuting,
Lessie Faries,Toyota,Seat,Microsoft,,Universität Regensburg,Cloud,Graph Databases,Big Data,Stamp Collecting,Calligraphy,
Danny Yater,Seat,Porsche,Skoda,,Universität Hamburg,Industry trends,,,Playing music,,
Sylvie Sutfin,Lexus,,,,Goethe-Universität Frankfurt am Main,Graph Databases,,,Aeromodeling,Marathon,
Fatima Tatman,Seat,Lexus,Microsoft,,Universität Regensburg,AI,Graph Databases,Future trends,Hiking,Kite Boarding,
Estefana Majid,TigerGraph,Microsoft,,,Universität Konstanz,Cloud,Airline,,Bowling,Kayaking,
Almeta Manglona,Skoda,,,,Universität zu Köln,Graph Databases,Retail,,Paragliding,,
Dexter Traficante,Seat,Mercedes,,,Hochschule Fresenius,Kubernetes,Airline,,Painting,Fencing,Hunting
Robert Summers,Toyota,Opel,TigerGraph,Microsoft,Fachhochschule Dortmund,Airline,GSQL,,Marathon,,
Mi Ballesteros,Audi,Tesla,,,Munich Business School,Graph Databases,Airline,Future trends,Fishing,Aeromodeling,Playing music
Fletcher Russell,Mercedes,Lexus,Tesla,,Frankfurt University of Applied Sciences,Airline,,,Hiking,Brewing Beer,Astronomy
Dominique Chapmon,Toyota,Opel,BMW,Audi,Universität zu Köln,Security,,,Meditation,Cooking,Car Racing
Napoleon Hassan,Audi,TigerGraph,,,Universität Würzburg,GSQL,,,Cooking,,
Naida Tessier,Toyota,TigerGraph,Mercedes,Microsoft,Frankfurt University of Applied Sciences,Big Data,Kubernetes,Automotive,Paragliding,Kayaking,
Man Clough,Seat,Skoda,Microsoft,,Hochschule Esslingen,Industry trends,TigerGraph,Security,Dog walking,Train Spotting,
Vicky Mitchum,Seat,Porsche,Skoda,Mercedes,Goethe-Universität Frankfurt am Main,Graph Databases,Industry trends,,Football,Kayaking,
Kam Lorraine,Tesla,,,,Johannes Gutenberg-Universität Mainz,NoSQL,AI,,Skateboarding,,
Clement Scholtens,Tesla,Seat,Volkswagen,Audi,Technische Universität Braunschweig,TigerGraph,,,Mountain Biking,Painting,Calligraphy
Signe Lestelle,Seat,Volkswagen,Audi,Microsoft,Heinrich-Heine-Universität Düsseldorf,Big Data,Future trends,Automotive,Kite Boarding,Skiing,Stamp Collecting
Timothy Kubera,Skoda,,,,Hochschule für angewandte Wissenschaften München,Future trends,Security,GSQL,Kite Boarding,Football,
Latina Pan,Toyota,Opel,Lexus,,Universität zu Lübeck,Future trends,,,Couch potatoing,Kite Boarding,
Delinda Troia,Opel,Volkswagen,Tesla,,FernUniversität in Hagen,Automotive,,,Cooking,Traveling,
Cheyenne Noblitt,Porsche,Mercedes,,,Technische Universität Braunschweig,TigerGraph,,,Darts,Traveling,
Ruthanne Madia,TigerGraph,BMW,,,Hochschule Rosenheim,NoSQL,Airline,,Snowboarding,,
Cristi Ismay,Seat,,,,Fachhochschule Aachen,Analytics,Big Data,Kubernetes,Horse riding,,
Laverna Olup,Mercedes,Skoda,Microsoft,Tesla,Goethe-Universität Frankfurt am Main,TigerGraph,,,Chilling,Darts,Kite Boarding
Roxanna Edling,Mercedes,Opel,Skoda,Tesla,Hochschule für angewandte Wissenschaften München,TigerGraph,Future trends,Retail,Photography,Sailing,
Sophie Gadsen,Skoda,,,,Universität Stuttgart,NoSQL,,,Darts,Aeromodeling,
Elizabeth Weissenbach,Porsche,,,,Brand Academy - Hochschule für Design und Kommunikation,Graph Databases,,,Martial Arts,Stamp Collecting,Badminton
Malisa Waitz,Volkswagen,Porsche,Skoda,,Technische Universität Berlin,NoSQL,Future trends,Retail,Painting,,
Lonnie Loew,BMW,,,,Heinrich-Heine-Universität Düsseldorf,NoSQL,Cloud,,Geocaching,,
Irma Dess,Tesla,,,,Universität zu Köln,Kubernetes,Airline,TigerGraph,Hunting,,
Sylvie Blecha,BMW,Seat,Porsche,Opel,Zeppelin University,NoSQL,Security,,Meditation,,
Sydney Tabarez,Opel,Porsche,Audi,Mercedes,Hochschule Neu-Ulm,AI,Security,Automotive,Fencing,Marathon,Calligraphy
Clair Trupia,Porsche,Mercedes,,,Fachhochschule Dortmund,NoSQL,,,Motorcycles,Bowling,
Jeniffer Lehtinen,Porsche,Volkswagen,Mercedes,,Technische Hochschule Mittelhessen,Analytics,Kubernetes,TigerGraph,Skateboarding,Fencing,Kayaking
Leila Saville,Porsche,Microsoft,,,Universität Freiburg,Analytics,,,Couch potatoing,Skateboarding,
Dalton Berdy,Opel,Porsche,,,Universität zu Köln,GSQL,,,Reading,,
Season Fawell,Toyota,Audi,BMW,,Technische Hochschule Mittelhessen,Cloud,Big Data,,Couch potatoing,Tennis,
Delicia Shuffstall,Opel,,,,Universität Regensburg,Kubernetes,Airline,TigerGraph,Cooking,Painting,Car Racing
Susy Schaefers,Lexus,Tesla,,,Fachhochschule Aachen,NoSQL,,,Couch potatoing,Reading,Tennis
Esteban Sandoual,Audi,Mercedes,,,Technische Universität Berlin,Airline,Future trends,Security,Baseball,Martial Arts,Parachuting
Lanette Duriga,Toyota,Opel,Lexus,,Universität Würzburg,NoSQL,Automotive,,Running,Train Spotting,Calligraphy
Matthew Gattshall,Toyota,,,,Universität Ulm,Kubernetes,GSQL,,Electronics,Dancing,
Harriette Heckard,Audi,Porsche,TigerGraph,Volkswagen,Universität Würzburg,NoSQL,Security,,Chilling,Baseball,Stamp Collecting
Erin Fodge,Porsche,,,,Zeppelin University,Industry trends,,,Playing music,,
Jacinto Estrello,Tesla,,,,Universität zu Lübeck,Graph Databases,,,Martial Arts,,
Juliana Bittner,Mercedes,,,,Hochschule Esslingen,Airline,Retail,,Baseball,Calligraphy,
Lorrine Holtan,BMW,,,,Universität zu Lübeck,Big Data,Automotive,,Football,Badminton,
Gonzalo Cothren,Microsoft,,,,Heinrich-Heine-Universität Düsseldorf,Cloud,Kubernetes,AI,Mountain Biking,Train Spotting,
Evie Pushard,Audi,Skoda,,,Hochschule Neu-Ulm,Airline,TigerGraph,Retail,Relaxing,,
Valarie Baade,Mercedes,,,,Universität Ulm,Cloud,Security,Automotive,Photography,Football,Playing music
Somer Kilner,TigerGraph,,,,Hochschule Macromedia,Airline,,,Couch potatoing,Running,Horse riding
Nu Spennicchia,Toyota,Seat,Audi,,Technische Universität Berlin,Graph Databases,,,Scuba Diving,Horse riding,
Saundra Pollom,Opel,Lexus,BMW,Mercedes,Technische Universität München,Industry trends,Security,,Football,,
Christene Morber,Toyota,Lexus,Skoda,Microsoft,Technische Universität München,NoSQL,,,Bowling,Astronomy,
Davida Arnstein,Mercedes,Volkswagen,Microsoft,Tesla,Universität zu Lübeck,Airline,Retail,,Electronics,TV watching,
Ellan Billiot,BMW,,,,Hochschule Rosenheim,Analytics,AI,Automotive,Meditation,,
Tammie Gongalez,Lexus,Volkswagen,,,Johannes Gutenberg-Universität Mainz,Graph Databases,,,Couch potatoing,Skiing,Badminton
Kaci Streat,Toyota,Seat,Microsoft,,Technische Hochschule Mittelhessen,Cloud,GSQL,,Relaxing,Bowling,Basketball
Odell Hirsch,Toyota,Volkswagen,TigerGraph,Tesla,Zeppelin University,Big Data,TigerGraph,AI,Geocaching,Skateboarding,
Martha Kosters,Seat,Microsoft,Skoda,Tesla,Fachhochschule Aachen,NoSQL,Big Data,,Dancing,Scuba Diving,Fencing
Drema Grimsley,Audi,TigerGraph,Opel,,Universität Würzburg,GSQL,,,Fishing,Tennis,
John Grauberger,Audi,Skoda,,,Hochschule Rosenheim,Big Data,Future trends,Retail,Photography,Painting,Scuba Diving
Julio Kamnik,Microsoft,,,,Hochschule Rosenheim,Analytics,Graph Databases,TigerGraph,Gardening,,
Lisha Joplin,Opel,,,,Fachhochschule Aachen,Graph Databases,Future trends,,Brewing Beer,Bicycling,Car Racing
Evan Ow,Seat,TigerGraph,BMW,,Beuth Hochschule für Technik Berlin,Industry trends,Airline,,Mountain Biking,,
Darnell Chaix,BMW,Tesla,,,Universität Passau,Big Data,,,Dog walking,Martial Arts,Scuba Diving
Denyse Fogelman,Skoda,Tesla,,,Universität München,Cloud,TigerGraph,,Paragliding,Meditation,Painting
Tiera Gyurko,Mercedes,Seat,Lexus,Microsoft,Fachhochschule Dortmund,Kubernetes,Automotive,Retail,Motorcycles,,
Marjory Yballe,TigerGraph,,,,Universität Erfurt,NoSQL,,,Train Spotting,Stamp Collecting,
Zandra Daron,Toyota,BMW,,,Universität Konstanz,Big Data,TigerGraph,Kubernetes,Chilling,Meditation,
William Aldred,Opel,Lexus,Volkswagen,Tesla,Universität Augsburg,Security,,,Chilling,Astronomy,Robotics
Tyesha Hartzler,Audi,TigerGraph,Skoda,Tesla,Beuth Hochschule für Technik Berlin,Kubernetes,Industry trends,Airline,Motorcycles,Electronics,TV watching
Rudy Patts,Audi,BMW,Mercedes,,Technische Universität Kaiserslautern,Kubernetes,,,Paragliding,Geocaching,
Doria Kamelamela,Opel,Lexus,,,Johannes Gutenberg-Universität Mainz,Analytics,Airline,,Skiing,Tennis,Skateboarding
Inge Shown,Porsche,Volkswagen,,,Hochschule Fresenius,TigerGraph,,,Chilling,Sailing,
Rochelle Ficenec,Microsoft,,,,Brand Academy - Hochschule für Design und Kommunikation,TigerGraph,,,Skiing,Tennis,TV watching
Kecia Triplet,Microsoft,,,,Frankfurt University of Applied Sciences,Industry trends,Future trends,Security,Kayaking,,
Natashia Stuckel,Volkswagen,Mercedes,,,Universität Augsburg,Industry trends,Airline,,Traveling,,
Von Schlottmann,BMW,,,,Philipps-Universität Marburg,GSQL,Retail,,Motorcycles,Meditation,TV watching
Niki Draxler,Lexus,Mercedes,,,Universität München,Industry trends,,,Photography,Kayaking,Marathon
Arthur Outley,BMW,,,,Universität Augsburg,Future trends,Retail,,Paragliding,Painting,
Joetta Desmaris,Audi,Volkswagen,Mercedes,,Munich Business School,Analytics,Retail,GSQL,Bowling,Astronomy,Traveling
Viva Mundine,Porsche,BMW,,,Technische Universität München,Big Data,Future trends,,Dog walking,Cooking,TV watching
Charlsie Steibel,Toyota,Audi,BMW,,Universität Passau,Security,,,Running,Sailing,
Denae Capuano,Toyota,Audi,Porsche,Seat,Universität Regensburg,Analytics,TigerGraph,Retail,Train Spotting,,
Amalia Ostrum,BMW,Skoda,,,Philipps-Universität Marburg,Graph Databases,Industry trends,GSQL,Kite Boarding,Dog walking,
Karlyn Cather,Seat,BMW,Mercedes,,Universität Freiburg,Cloud,Retail,,Bowling,,
Janell Ahlborn,Mercedes,TigerGraph,Microsoft,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Kubernetes,Industry trends,,Parachuting,,
Georgeann Jucean,Audi,Microsoft,,,Universität Würzburg,Industry trends,TigerGraph,,Dog walking,Parachuting,Kayaking
Rachel Linnen,Opel,Porsche,BMW,Audi,Johannes Gutenberg-Universität Mainz,Automotive,GSQL,Retail,Geocaching,,
Deeann Garron,TigerGraph,BMW,Tesla,,Hochschule der Bundesagentur für Arbeit,AI,Industry trends,Graph Databases,Golf,,
Avril Lovins,Audi,Lexus,,,Brand Academy - Hochschule für Design und Kommunikation,Big Data,,,Darts,Fishing,
Timothy Vanburen,Tesla,,,,Universität Hamburg,Graph Databases,AI,,Hiking,Dog walking,Stamp Collecting
Stefan Jund,Opel,Lexus,,,Heinrich-Heine-Universität Düsseldorf,Industry trends,,,Kayaking,Aeromodeling,Marathon
David Valcarcel,Seat,Audi,Mercedes,,Hochschule Fresenius,NoSQL,Retail,,Football,Basketball,Sailing
Alia Lasserre,Seat,Mercedes,,,Hochschule Landshut,AI,Airline,,Traveling,,
Roma Kijek,Microsoft,Skoda,Mercedes,,FernUniversität in Hagen,Industry trends,Airline,GSQL,Basketball,TV watching,Calligraphy
Patricia Burrow,Seat,,,,Universität Regensburg,Industry trends,,,TV watching,,
Tammi Burts,Seat,Skoda,Mercedes,,Universität Freiburg,Graph Databases,Retail,,Football,TV watching,
Lorina Mongeon,Skoda,,,,Technische Universität Darmstadt,NoSQL,TigerGraph,,Football,Tennis,Baseball
Roselia Limoli,Toyota,Skoda,BMW,Microsoft,Hochschule für angewandte Wissenschaften München,Airline,,,Kayaking,,
Fred Moravec,Audi,Porsche,,,Universität Stuttgart,AI,,,Astronomy,,
Glinda Freidman,Tesla,,,,Hochschule Esslingen,NoSQL,,,Fishing,,
Lauren Fallen,Mercedes,Opel,Tesla,,Technische Universität Braunschweig,AI,,,Relaxing,Basketball,Parachuting
Anglea Rundell,Porsche,Mercedes,,,Hochschule Neu-Ulm,Graph Databases,Industry trends,,Martial Arts,Astronomy,Stamp Collecting
Alayna Baudry,Skoda,,,,Universität Freiburg,Cloud,TigerGraph,,Dog walking,Baseball,Marathon
Magdalene Bunk,Tesla,Microsoft,,,Universität Passau,Cloud,Kubernetes,Automotive,Brewing Beer,Hunting,Car Racing
Janessa Carina,Lexus,Volkswagen,TigerGraph,Mercedes,Universität Passau,TigerGraph,Automotive,,Snowboarding,Sailing,Dog walking
Pearly Mir,Seat,Opel,,,Universität zu Köln,Future trends,,,Cooking,,
Soraya Cassard,Microsoft,BMW,Mercedes,,Universität Hamburg,Retail,Automotive,GSQL,Running,Astronomy,Marathon
Joan Vierling,Opel,TigerGraph,Mercedes,,Universität Würzburg,Analytics,Future trends,,Scuba Diving,Playing music,
Kasandra Gaarder,Seat,Audi,Mercedes,,Munich Business School,Graph Databases,,,Hiking,Parachuting,
Tara Mccardle,Audi,Lexus,,,Brand Academy - Hochschule für Design und Kommunikation,Cloud,,,Mountain Biking,,
Victorina Serna,Toyota,Audi,Porsche,,Technische Universität Braunschweig,Big Data,Industry trends,TigerGraph,Kite Boarding,Chess,
Benton Ekas,Toyota,TigerGraph,,,Technische Universität Darmstadt,Analytics,AI,TigerGraph,Darts,Baseball,
Victorina Joo,Toyota,Porsche,Mercedes,,Hochschule Landshut,Airline,Future trends,,Paragliding,Aeromodeling,
Patience Cuadrado,Toyota,Seat,Opel,,Technische Universität Kaiserslautern,Industry trends,,,Dog walking,,
Latoyia Lannon,Audi,,,,Technische Universität Darmstadt,Industry trends,,,Geocaching,Martial Arts,Skateboarding
Angelic Cintron,Audi,Microsoft,,,Technische Universität Braunschweig,Analytics,Kubernetes,,Chilling,Skiing,Playing music
Nancy Tener,Porsche,Microsoft,Mercedes,,Philipps-Universität Marburg,Kubernetes,,,Golf,Chess,Dancing
Wilmer Resides,Opel,,,,Universität Erfurt,Airline,,,Meditation,Tennis,
Meda Lago,Opel,TigerGraph,Skoda,,Universität Würzburg,Kubernetes,,,Motorcycles,Bicycling,Parachuting
Ileen Longsworth,Opel,Porsche,TigerGraph,Audi,Universität Augsburg,NoSQL,,,Reading,Chess,Horse riding
Myung Mano,TigerGraph,Skoda,Mercedes,,Technische Hochschule Mittelhessen,Retail,,,Meditation,,
Earlene Galagher,Audi,Porsche,,,Universität Freiburg,NoSQL,,,Golf,Astronomy,TV watching
Ela Zerbel,Opel,TigerGraph,Skoda,,Hochschule Neu-Ulm,Industry trends,Airline,Retail,Basketball,,
Nubia Standford,TigerGraph,Microsoft,Mercedes,,Hochschule Neu-Ulm,Kubernetes,Future trends,,Chilling,Bowling,
Sharonda Garmire,Lexus,Volkswagen,,,Munich Business School,Kubernetes,Airline,,Train Spotting,Cooking,
Debby Boahn,Opel,Lexus,,,Universität München,Cloud,Graph Databases,TigerGraph,Skiing,Golf,Painting
Emely Salzman,Opel,TigerGraph,Audi,Tesla,Fachhochschule Aachen,Security,,,Scuba Diving,Robotics,
Camie Backues,Audi,,,,Goethe-Universität Frankfurt am Main,Airline,,,Golf,Marathon,Traveling
Kayleigh Denier,Audi,TigerGraph,Skoda,,Fachhochschule Aachen,TigerGraph,,,Geocaching,,
Moses Sarjeant,BMW,Lexus,Volkswagen,Skoda,Hochschule Macromedia,AI,,,Snowboarding,,
Shane Dayton,Toyota,BMW,Microsoft,,Hochschule Esslingen,Graph Databases,Airline,,TV watching,,
Hector Haymaker,Volkswagen,TigerGraph,Skoda,,FernUniversität in Hagen,TigerGraph,Retail,,Stamp Collecting,,
Dollie Sphon,Skoda,Microsoft,,,Frankfurt University of Applied Sciences,Graph Databases,,,Chilling,Darts,Electronics
Angelo Earing,Toyota,TigerGraph,,,Universität Passau,Cloud,Security,Retail,Motorcycles,Traveling,
Delpha Micalizzi,Seat,,,,Universität Würzburg,GSQL,,,Mountain Biking,Tennis,Sailing
Mindy Cultice,Lexus,,,,Universität Leipzig,Graph Databases,Automotive,GSQL,Train Spotting,,
Merlene Plewa,Seat,Lexus,,,Universität München,Retail,,,Football,Skateboarding,Dancing
Josue Painton,Opel,Volkswagen,Skoda,,Goethe-Universität Frankfurt am Main,Future trends,Security,,Motorcycles,Hunting,Dog walking
Hanh Klages,Audi,BMW,,,Fachhochschule Dortmund,Analytics,Industry trends,GSQL,Mountain Biking,Stamp Collecting,TV watching
Kathleen Melone,Microsoft,,,,Frankfurt University of Applied Sciences,Graph Databases,Kubernetes,,Snowboarding,Playing music,
Palmer Turrietta,Audi,TigerGraph,BMW,Microsoft,Universität Passau,Future trends,GSQL,,Astronomy,,
Brinda Goudelock,TigerGraph,,,,Fachhochschule Dortmund,Cloud,Industry trends,,Baseball,,
Valentine Morua,Toyota,Seat,Opel,Mercedes,Technische Universität Braunschweig,TigerGraph,,,Paragliding,Fencing,
Belle Surrency,Mercedes,Porsche,TigerGraph,Tesla,Hochschule der Bundesagentur für Arbeit,Analytics,Industry trends,Retail,Baseball,Chess,TV watching
Shala Arwood,Mercedes,BMW,Microsoft,,Technische Universität Berlin,Kubernetes,Industry trends,,Fishing,Reading,
Jetta Windus,Opel,TigerGraph,Mercedes,,Zeppelin University,Analytics,Industry trends,Security,Chilling,Snowboarding,Skateboarding
Julianne Plumber,Opel,Volkswagen,BMW,,Hochschule Macromedia,Big Data,Industry trends,TigerGraph,Dog walking,Golf,Dancing
Marylynn Panchal,Porsche,Volkswagen,Tesla,,Hochschule Landshut,Analytics,Graph Databases,NoSQL,Stamp Collecting,Scuba Diving,Hiking
Monte Ceroni,Mercedes,Lexus,Porsche,Tesla,Munich Business School,GSQL,,,Running,Skiing,Electronics
Jessi Parente,Seat,Opel,TigerGraph,Tesla,Philipps-Universität Marburg,Analytics,,,Dancing,,
Rhea Vetter,Toyota,TigerGraph,BMW,Mercedes,Universität Freiburg,Big Data,,,Paragliding,Fishing,Meditation
Phillis Willamson,Toyota,Lexus,,,Universität Hamburg,Analytics,Kubernetes,,Sailing,Marathon,
Jacinta Machel,Volkswagen,Porsche,TigerGraph,Microsoft,Technische Universität Berlin,Graph Databases,Airline,TigerGraph,Running,Robotics,Calligraphy
Shawanna Shaneyfelt,Volkswagen,,,,Brand Academy - Hochschule für Design und Kommunikation,Airline,GSQL,,Darts,Golf,Scuba Diving
Ashanti Hranchak,TigerGraph,Skoda,,,Universität Leipzig,NoSQL,Future trends,GSQL,Kite Boarding,Tennis,Chess
Abbey Fairbanks,Audi,Skoda,,,Universität zu Lübeck,GSQL,,,Hiking,Motorcycles,Skiing
